ticker,company_name,market_cap_usd_mil,ipo_date,ipo_value_usd_mil,sector,lead_underwriters,ticker_hk
ZYBT,"Zhengye
Biotechnology
Holding Ltd",206,2025-01,6.0,Health Care,"Kingswood Capital Partners, LLC",
PHH,"Park Ha Biological
Technology Co.,
Ltd.",203,2024-12,5.0,"Consumer
Discretionary","Dawson James Securities, Inc., D.
Boral Capital LLC",
BZUN,Baozun Inc.,195,2015-05,110.0,Consumer Services,"Merrill Lynch, Credit Suisse, Morgan Stanley",HK
NIU,Niu Technologies,187,2018-10,63.0,Capital Goods,"Citigroup, Credit Suisse",
NTCL,"NetClass
Technology Inc",183,2024-12,9.0,Technology,"Newbridge Securities
Corporation, Revere Securities,
LLC",
HCAI,"Huachen AI Parking
Management
Technology Holding
Co., Ltd",180,2025-02,6.0,"Consumer
Discretionary","Benjamin Securities, Inc., D. Boral
Capital LLC",
CMCM,Cheetah Mobile,154,2014-05,168.0,Technology,"Morgan Stanley, J.P. Morgan, Credit Suisse",
TOUR,Tuniu Corporation,135,2014-05,72.0,Consumer Services,"China Renaissance Securities, Credit Suisse, Morgan Stanley",
KNDI,"Kandi Technologies
Group, Inc.",134,2008-03,28.0,Capital Goods,FT Global Capital,
CAAS,"China Automotive
Systems, Inc.",133,2003-10,,Capital Goods,Cornell Capital Partners,
QH,Quhuo Tech,131,2020-07,33.0,Technology,"Roth Capital, Valuable Capital, Tiger Brokers",
QSG,QuantaSing Group Ltd,126,2023-01,41.0,Technology,"Citigroup, CICC, CLSA, US Tiger Securities, Univest Securities LLC",
ZJYL,Jin Medical International,126,2023-03,8.0,Consumer Discretionary,"Prime Number Capital, LLC",
NCTY,The9 Limited,112,2004-12,103.0,Business Services,"Bear Stearns, CLSA Limited",
COE,51Talk Online Education Group,110,2016-06,46.0,Consumer Services,"Credit Suisse, Morgan Stanley",
IH,iHuman,109,2020-10,84.0,Consumer Services,"Credit Suisse, Citigroup",
VIOT,Viomi Technology Co. Ltd,105,2018-09,103.0,Consumer Durables,"CICC, Morgan Stanley",
EPWK,EPWK Holdings Ltd.,104,2025-02,11.0,Technology,"Cathay Securities, Inc., Revere Securities LLC",
THCH,"TH International
Ltd",100,2021-01,345.0,Finance,UBS Securities,
GLAC,"Global Lights
Acquisition Corp",97,2023-11,69.0,Industrials,"Chardan Capital Markets, LLC",
PAVS,"Paranovus
Entertainment
Technology Limited",96,2019-10,11.0,"Consumer
Durables",Univest Securities,
NA,Nano Labs Ltd,94,2022-07,20.0,Technology,"AMTD Global Markets Ltd.,
Maxim Group LLC, Tiger Brokers
(NZ) Limited",
LUD,"Luda Technology
Group Limited",93,2025-02,10.0,Basic Materials,"Revere Securities LLC , Pacific
Century Securities, LLC",
SY,SoYoung Technology,92,2019-05,179.0,Technology,"Deutsche Bank, CICC",
HUHU,"HUHUTECH
International Group
Inc.",91,2024-10,4.0,"Telecommunic
ations","Craft Capital Management LLC, EF
Hutton LLC",
ADAG,Adagene,90,2021-02,140.0,Health Care,"Goldman Sachs (Asia), Morgan
Stanley, Jefferies",
CCG,Cheche Group Inc.,90,,18.0,Finance,n/a,
LSE,"Leishen Energy
Holding Co., Ltd.",89,2024-12,6.0,Industrials,"Dominari Securities LLC, Revere
Securities LLC",
ABLV,"Able View Global
Inc.",86,2022-08,60.0,Finance,Ladenburg Thalmann,
ANL,Adlai Nortye Ltd,85,2023-09,58.0,"Pharmaceutical
s &
Biotechnology",Cantor Fitzgerald & Co.,
STG,Sunlands Technology Group,85,2018-03,150.0,Consumer Services,"Goldman Sachs, Morgan Securities, Credit Suisse",
SFWL,Shengfeng Development Ltd,83,2023-03,10.0,Industrials,Univest Securities,
CBAT,"CBAK Energy
Technology, Inc.",80,2005-02,,Capital Goods,n/a,
WETO,Webus International Limited,80,2025-02,8.0,Industrials,"Alexander Capital, L.P., Network 1 Financial Securities, Inc., R.F. Lafferty & Co., Inc.",
